city,category
Ahmedabad,Large City
Surat,Large City
Mumbai,Large City
Pune,Large City
Hyderabad,Large City
Bangalore,Large City
NCR,Large City
Chennai,Large City
Kolkata,Large City
Jaipur,Large City
Lucknow,Large City
Kanpur,Large City
Nagpur,Large City
Visakhapatnam,Large City
Indore,Large City
Thiruvananthapuram,Large City
Bhopal,Large City
Patna,Large City
Ludhiana,Large City
Agra,Large City
Nashik,Large City
Vadodara,Large City
Coimbatore,Large City
Kochi,Large City
Varanasi,Large City
Madurai,Large City
Meerut,Large City
Prayagraj,Large City
Amritsar,Large City
Srinagar,Large City
Jodhpur,Large City
Chandigarh,Large City
Gwalior,Large City
Vijayawada,Large City
Guwahati,Large City
Hubli,Large City
Mysore,Large City
Tiruchirappalli,Large City
Bareilly,Large City
Aligarh,Large City
Gurgaon,Large City
Bhubaneshwar,Large City
Kullu,Small City/Town
Warangal,Small City/Town
Kanchipuram,Small City/Town
Jalandhar,Small City/Town
Berhampur,Small City/Town
Kharagpur,Small City/Town
Tiruvarur,Small City/Town
Bageshwar,Small City/Town
Sirsa,Small City/Town
Churu,Small City/Town
Hanumangarh,Small City/Town
Kurnool,Small City/Town
Jamshedpur,Small City/Town
Nizamabad,Small City/Town
Ambala,Small City/Town
Nanded,Small City/Town
Banswara,Small City/Town
Amravati,Small City/Town
Sonipat,Small City/Town
Rourkela,Small City/Town
Kolar,Small City/Town
Junagadh,Small City/Town
Dehradun,Small City/Town
Rajkot,Small City/Town
Sangli,Small City/Town
Bharuch,Small City/Town
Kankroli,Small City/Town
Haridwar,Small City/Town
Beawar City,Small City/Town
Bhagalpur,Small City/Town
Kishanganj,Small City/Town
Anantapur,Small City/Town
Rewa,Small City/Town
Ajmer,Small City/Town
Bhuj,Small City/Town
Secunderabad,Small City/Town
Rupnagar,Small City/Town
Muktsar,Small City/Town
Pratapgarh,Small City/Town
Renebennur,Small City/Town
Gaya,Small City/Town
Chattarpur,Small City/Town
Thrissur,Small City/Town
Vellore,Small City/Town
Hisar,Small City/Town
Saharanpur,Small City/Town
Mahesana,Small City/Town
Yamunanagar,Small City/Town
Nalgonda,Small City/Town
Singrauli,Small City/Town
Jammu,Small City/Town
Hailakandi,Small City/Town
Adilabad,Small City/Town
Krishnagiri,Small City/Town
Medininagar,Small City/Town
Tiruvallur,Small City/Town
Pithampur,Small City/Town
Gangtok,Small City/Town
Muzaffarnagar,Small City/Town
Pathankot,Small City/Town
Rameshwaram,Small City/Town
Jajpur,Small City/Town
Dharmapuri,Small City/Town
Udaipur,Small City/Town
Wayanad,Small City/Town
Mandya,Small City/Town
Nagapattinam,Small City/Town
Bilaspur,Small City/Town
Murshidabad,Small City/Town
Patiala,Small City/Town
Ongole,Small City/Town
Mandsaur,Small City/Town
Kottayam,Small City/Town
Shimoga,Small City/Town
Mahbubnagar,Small City/Town
Mirzapur,Small City/Town
